Gender,Alcohol,Height,Cheat
Female,15,64,0
Male,14,69,0
Female,NA,66,0
Female,10,63,0
Male,30,72,0
Female,20,67,0
Male,15,69,0
Male,15,74,0
Male,0,72,0
Female,0,63,0
Male,NA,68.5,0
Male,0,70,0
Male,0,71,0
Male,0,68,0
Female,0,60,0
Male,0,71,0
Female,NA,68,0
Female,1,67,1
Female,0,66,1
Male,2,69,0
Male,NA,69,0
Male,0,68,0
Female,1,67,0
Female,NA,65,0
Female,NA,61,0
Female,2,61,0
Female,0,64,0
Female,1,68,1
Male,10,69,0
Male,NA,68,0
Male,12,72,0
Female,3,68,0
Female,NA,64,0
Female,1,65.5,0
Female,0,67,0
Female,0,70,0
Female,8,67,0
Female,0,62.5,0
Female,0,67,0
Female,0,67,0
Female,0,62,1
Female,0,62,0
Female,0,64,1
Female,1,66,0
Female,3,65,0
Female,3,67,0
Male,5,64,1
Male,0,76,0
Male,0,68,0
Male,0,68,0
Male,1,70,0
Male,2,62,0
Male,3,69,0
Male,12,67,0
Male,12,76.5,0
Female,2,64.5,0
Female,0,70,0
Female,0,63,0
Male,0,72,0
Male,8,64,0
Male,3,70,0
Male,9,68,0
Female,9,65,0
Female,0,60,0
Female,2,69,0
Male,NA,73,0
Male,0,76.5,1
Female,0,64,0
Female,NA,62,0
Male,0,72,0
Female,0,63,1
Female,5,64,0
Male,0,64,0
Male,10,71,0
Male,3,73,0
Female,0,62,0
Male,0,72,0
Male,NA,71,0
Male,2,65,0
Female,4,72,0
Female,0,63,0
Female,NA,67,0
Male,NA,69,0
Female,0,63,0
Female,0,68,1
Female,0,64,0
Male,0,66,0
Female,3,72,0
Female,0,59.5,0
Female,0,65,0
Female,3,68,0
Female,0,66,0
Male,0,73,0
Female,0,65,0
Female,0,61,0
Female,0,66,0
Female,0,62.5,0
Female,4,65,1
Female,1,65,0
Female,0,63,1
Male,0,68,0
Male,NA,67,0
Male,3,70,0
Male,4,70,0
Male,22,65,0
Female,2,70,0
Male,NA,70,0
Female,0,64,0
Female,NA,63,0
Female,10,68,0
Female,10,63.5,0
Female,NA,67.5,0
Female,1,66,0
Female,0,66,0
Female,0,63,0
Female,20,63,1
Female,12,61,0
Male,NA,72,0
Male,0,70,0
Male,0,71,0
Male,0,71,0
Male,12,67,0
Male,NA,69,0
Male,5,72,0
Male,NA,74,0
Female,0,63,1
Female,0,61,0
Female,0,66,0
Female,1,63,0
Female,3,66,0
Female,1,67,0
Female,0,64,0
Female,0,66,0
Female,18,68,0
Female,NA,62,0
Female,NA,66,0
Female,3,63,0
Female,0,66,0
Female,0,66,0
Female,20,69,0
Male,25,74,0
Male,0,70,0
Female,2,68,0
Male,10,68,0
Male,14,71,0
Female,15,64,0
Female,20,69,0
Male,20,72,0
Male,15,63,0
Female,3,62,0
Female,1,65,0
Female,0,61,0
Female,0,67,0
Male,2,69,0
Female,0,64,1
Female,0,62,0
Female,7,64,0
Female,0,66,0
Female,NA,63,0
Female,0,61,0
Female,2,67,0
Female,7,67,0
Female,0,63.5,1
Female,0,60,0
Female,0,67,0
Female,0,61,0
Female,0,64,0
Female,4,61,0
Female,NA,68,0
Female,10,63,0
Female,5,67,0
Female,0,63,0
Female,0,60,0
Male,0,72,0
Male,0,67.75,0
Male,12,70,0
Male,14,67,0
Male,10,67,0
Female,15,64.5,0
Female,10,60.5,0
Male,36,74,0
Female,3,69.5,0
Female,5,66,0
Female,1,65,0
Female,5,65,0
Male,3,73,0
Female,0,63,0
Female,4,67,0
Male,NA,66,0
Female,7,68,0
Female,8,68,0
Male,25,74,0
Male,10,70,0
Female,NA,65,1
Male,0,72,0
Female,0,63,0
Male,2,70,0
Male,0,75,0
Male,9,74,0
Female,0,62,0
Female,NA,63,0
Male,15,70,0
Female,0,71,0
Female,2,63,0
Female,0,63,0
Female,0,62,0
Female,0,63,1
Female,6,65,0
Female,1,62,0
Female,0,63,1
Female,NA,65,0
Female,0,63,0
Female,0,64,0
Female,10,68,0
Female,0,64,0
Female,0,61,0
Female,0,62,0
Female,0,66,1
Male,10,74,0
Male,15,72,0
Male,30,72,0
Female,6,68,0
Female,0,65,0
Female,1,69,0
Female,10,65,0
Female,3,64,0
Male,12,73,0
Female,NA,64,0
Female,1,67,0
Male,30,72,0
Male,12,73,0
Male,NA,74,0
Female,0,68,0
Female,1,73,1
Male,6,68,0
Male,6,63,0
